st_reg_id,registry,is_platform_subtrial,results_recruitment_status,pub_link,pmid,best_date,journal,best_registry_date,st_pub_reported,is_euctr_country_entry
NCT04347226,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04347239,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/36427875/,36427875,2022-11-01T00:00:00Z,Clin Med (Lond),2025-08-27,0,FALSE
NCT04347382,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/24413991/,24413991,2014-01-12T00:00:00Z,Mol Biol Rep,NA,NA,FALSE
NCT04347538,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35040594/,35040594,2022-01-31T00:00:00Z,Int Forum Allergy Rhinol,NA,NA,FALSE
NCT04347889,ClinicalTrials.gov,FALSE,WITHDRAWN,NA,NA,NA,NA,NA,NA,FALSE
NCT04347915,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04347954,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,2021-10-21,NA,FALSE
NCT04347980,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04348305,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/35067914/,35067914,2022-02-03T00:00:00Z,Acta Anaesthesiol Scand,NA,NA,FALSE
NCT04348383,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04348409,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/34222847/,34222847,2021-06-27T00:00:00Z,EClinicalMedicine,NA,NA,FALSE
NCT04348500,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,2021-12-02,NA,FALSE
NCT04348513,ClinicalTrials.gov,FALSE,TERMINATED,https://pubmed.ncbi.nlm.nih.gov/34151781/,34151781,2021-01-01T00:00:00Z,Clin Hemorheol Microcirc,NA,NA,FALSE
NCT04348695,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/37143685/,37143685,2023-04-18T00:00:00Z,Front Immunol,NA,NA,FALSE
NCT04349098,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,2021-11-01,NA,FALSE
NCT04349241,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04349371,ClinicalTrials.gov,FALSE,TERMINATED,NA,NA,NA,NA,NA,NA,FALSE
NCT04349410,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
NCT04349592,ClinicalTrials.gov,FALSE,COMPLETED,https://pubmed.ncbi.nlm.nih.gov/31978945/,31978945,2020-01-24T00:00:00Z,N Engl J Med,NA,NA,FALSE
NCT04350281,ClinicalTrials.gov,FALSE,COMPLETED,NA,NA,NA,NA,NA,NA,FALSE
